trial_len,stim,ans
2,red,2
2,blue,3
2,red,2
2,blue,3
2,red,2
2,red,2
2,blue,3
2,red,2
2,red,2
2,red,2
2,red,2
2,blue,3
2,red,2
2,red,2
2,blue,3
30,NULL,
2,red,2
2,blue,3
2,blue,3
2,blue,3
2,red,2
2,red,2
2,red,2
2,blue,3
2,blue,3
2,red,2
2,blue,3
2,blue,3
2,blue,3
2,blue,3
2,blue,3
30,NULL,
2,blue,3
2,blue,3
2,blue,3
2,red,2
2,red,2
2,blue,3
2,red,2
2,red,2
2,blue,3
2,red,2
2,blue,3
2,blue,3
2,blue,3
2,blue,3
2,blue,3
30,NULL,
2,red,2
2,blue,3
2,red,2
2,blue,3
2,blue,3
2,red,2
2,blue,3
2,blue,3
2,red,2
2,red,2
2,red,2
2,red,2
2,red,2
2,red,2
2,red,2
30,NULL,
