trial_len,stim,ans
2,red,2
16,NULL,
2,red,2
2,red,2
6,NULL,
2,blue,3
12,NULL,
2,red,2
2,NULL,
2,red,2
2,NULL,
2,red,2
6,NULL,
2,blue,3
12,NULL,
2,red,2
2,NULL,
2,red,2
4,NULL,
2,blue,3
2,red,2
8,NULL,
2,blue,3
26,NULL,
2,red,2
6,NULL,
2,blue,3
2,blue,3
2,NULL,
2,red,2
2,blue,3
6,NULL,
2,red,2
2,blue,3
4,NULL,
2,red,2
2,red,2
8,NULL,
2,blue,3
2,NULL,
2,blue,3
2,red,2
6,NULL,
2,blue,3
2,red,2
2,NULL,
2,red,2
2,red,2
6,NULL,
2,red,2
8,NULL,
2,blue,3
6,NULL,
2,red,2
8,NULL,
2,blue,3
2,NULL,
2,blue,3
2,blue,3
4,NULL,
2,blue,3
6,NULL,
2,blue,3
2,NULL,
2,blue,3
10,NULL,
2,blue,3
4,NULL,
2,red,2
2,NULL,
2,blue,3
2,NULL,
2,red,2
2,red,2
4,NULL,
2,red,2
2,red,2
8,NULL,
2,red,2
14,NULL,
2,blue,3
2,blue,3
2,NULL,
2,blue,3
6,NULL,
2,red,2
2,NULL,
2,red,2
2,NULL,
2,red,2
2,blue,3
4,NULL,
2,blue,3
18,NULL,
2,blue,3
2,blue,3
6,NULL,
2,blue,3
2,blue,3
6,NULL,
2,blue,3
14,NULL,
2,red,2
2,NULL,
